split seed,p,selection,labels
12,"(0.125, 21)","[[46, 45, 44, 33, 29, 27, 13], [51, 48, 46, 29, 16, 8, 1], [56, 51, 45, 35, 21, 18, 13]]","[1, 3, 2]"
13,"(0.5, 84)","[[54, 49, 48, 47, 46, 45, 44, 43, 42, 37, 36, 35, 34, 32, 31, 29, 28, 23, 22, 18, 17, 15, 14, 12, 10, 9, 8, 3], [53, 50, 49, 48, 46, 44, 41, 38, 37, 36, 30, 29, 28, 26, 25, 23, 22, 21, 20, 18, 17, 15, 13, 10, 8, 6, 2, 1], [55, 54, 52, 51, 48, 46, 44, 42, 41, 39, 37, 36, 35, 34, 33, 28, 22, 20, 16, 15, 14, 13, 10, 9, 6, 5, 4, 2]]","[1, 3, 2]"
13,"(0.25, 42)","[[48, 47, 45, 42, 34, 32, 29, 22, 17, 15, 12, 10, 8, 3], [53, 50, 48, 44, 37, 30, 29, 28, 26, 15, 13, 8, 2, 1], [55, 54, 52, 51, 44, 42, 35, 33, 22, 16, 15, 14, 10, 5]]","[1, 3, 2]"
13,"(0.125, 21)","[[48, 47, 34, 32, 29, 8, 3], [53, 50, 48, 44, 26, 13, 1], [55, 54, 44, 35, 16, 15, 14]]","[1, 3, 2]"
14,"(0.5, 84)","[[51, 48, 47, 46, 44, 40, 39, 37, 33, 31, 30, 28, 25, 24, 23, 21, 20, 17, 16, 14, 11, 10, 8, 4, 2, 1], [56, 55, 54, 52, 50, 49, 45, 43, 42, 41, 39, 37, 36, 35, 34, 33, 32, 29, 24, 21, 17, 16, 15, 14, 11, 10, 7, 6, 3], [58, 57, 51, 50, 49, 48, 46, 45, 44, 42, 41, 34, 32, 29, 28, 25, 23, 20, 19, 18, 14, 13, 12, 10, 9, 8, 7, 3, 2]]","[3, 2, 1]"
14,"(0.25, 42)","[[51, 48, 46, 44, 39, 37, 33, 30, 28, 16, 14, 2, 1], [56, 55, 54, 52, 45, 43, 35, 33, 21, 17, 16, 15, 10, 6], [50, 49, 48, 46, 41, 34, 25, 20, 19, 18, 14, 13, 9, 7, 2]]","[3, 2, 1]"
14,"(0.125, 21)","[[51, 48, 37, 28, 14, 2, 1], [56, 55, 54, 52, 45, 21, 16], [50, 49, 48, 41, 34, 14, 13]]","[3, 2, 1]"
15,"(0.5, 84)","[[52, 51, 45, 44, 42, 41, 39, 38, 37, 30, 29, 28, 26, 25, 24, 21, 18, 17, 16, 12, 11, 9, 8, 7, 6, 2, 0], [55, 54, 53, 52, 50, 47, 45, 44, 43, 41, 38, 37, 36, 35, 34, 33, 31, 24, 23, 20, 19, 18, 17, 16, 15, 14, 10, 6, 3], [55, 53, 51, 50, 48, 46, 44, 43, 42, 39, 38, 35, 31, 29, 28, 25, 24, 23, 22, 20, 19, 16, 14, 11, 8, 7, 1, 0]]","[1, 2, 3]"
15,"(0.25, 42)","[[45, 44, 42, 41, 37, 28, 26, 17, 16, 12, 9, 6, 2], [55, 54, 52, 50, 47, 45, 41, 38, 37, 23, 20, 16, 15, 10], [55, 51, 50, 46, 43, 42, 39, 31, 29, 25, 16, 14, 7, 1, 0]]","[1, 2, 3]"
15,"(0.125, 21)","[[45, 44, 41, 26, 12, 6, 2], [55, 50, 47, 38, 20, 16, 10], [55, 51, 50, 46, 29, 14, 0]]","[1, 2, 3]"
16,"(0.5, 84)","[[54, 53, 48, 47, 46, 45, 43, 42, 41, 39, 35, 33, 32, 31, 30, 28, 26, 21, 20, 19, 16, 15, 12, 10, 9, 8, 4, 3], [55, 54, 52, 50, 48, 47, 46, 42, 40, 37, 34, 33, 32, 31, 28, 22, 20, 19, 16, 15, 14, 13, 10, 9, 7, 6, 5, 2], [55, 52, 50, 48, 46, 43, 42, 39, 38, 34, 33, 31, 29, 28, 25, 24, 23, 21, 20, 17, 16, 14, 13, 11, 10, 5, 2, 1]]","[1, 2, 3]"
16,"(0.25, 42)","[[47, 46, 45, 35, 32, 28, 21, 20, 16, 15, 12, 10, 8, 3], [54, 52, 50, 46, 42, 40, 33, 22, 20, 16, 15, 14, 10, 6], [55, 52, 50, 48, 46, 38, 31, 29, 28, 25, 16, 13, 2, 1]]","[1, 2, 3]"
16,"(0.125, 21)","[[47, 46, 45, 35, 32, 15, 3], [54, 52, 50, 42, 40, 20, 15], [55, 52, 50, 46, 29, 25, 13]]","[1, 2, 3]"
17,"(0.5, 84)","[[53, 52, 48, 47, 45, 44, 43, 41, 40, 34, 33, 32, 31, 29, 28, 27, 25, 24, 20, 18, 17, 16, 12, 10, 9, 6, 5], [50, 49, 48, 47, 46, 45, 44, 43, 41, 40, 36, 32, 31, 29, 27, 26, 22, 21, 20, 19, 18, 16, 15, 13, 12, 6, 5, 0], [58, 57, 56, 54, 53, 51, 49, 45, 42, 40, 38, 37, 36, 35, 34, 33, 31, 22, 19, 18, 16, 15, 14, 13, 9, 7, 5, 4, 2]]","[1, 3, 2]"
17,"(0.25, 42)","[[53, 48, 47, 45, 40, 33, 31, 29, 24, 18, 17, 12, 10, 6], [49, 47, 43, 40, 36, 32, 31, 29, 27, 22, 15, 13, 12, 6], [57, 56, 54, 53, 49, 45, 36, 34, 22, 16, 15, 14, 9, 5]]","[1, 3, 2]"
17,"(0.125, 21)","[[48, 47, 33, 31, 29, 17, 12], [49, 47, 36, 27, 13, 12, 6], [57, 56, 53, 45, 36, 15, 14]]","[1, 3, 2]"
18,"(0.5, 84)","[[53, 51, 50, 48, 46, 45, 44, 40, 39, 38, 36, 34, 33, 32, 31, 30, 28, 20, 19, 17, 16, 12, 11, 7, 6, 5, 4], [53, 50, 48, 46, 44, 41, 40, 38, 37, 36, 34, 30, 29, 28, 27, 26, 22, 21, 19, 16, 15, 14, 13, 9, 8, 7, 2, 1], [58, 57, 52, 51, 50, 48, 47, 46, 44, 37, 36, 35, 34, 33, 32, 30, 27, 26, 21, 20, 19, 16, 15, 13, 12, 9, 7, 6, 2]]","[2, 3, 1]"
18,"(0.25, 42)","[[53, 50, 48, 44, 40, 39, 33, 32, 31, 19, 17, 12, 5, 4], [53, 50, 48, 46, 44, 40, 37, 29, 27, 26, 14, 13, 7, 1], [58, 51, 50, 47, 44, 36, 32, 30, 27, 20, 15, 13, 6, 2]]","[2, 3, 1]"
18,"(0.125, 21)","[[53, 50, 48, 40, 17, 12, 5], [53, 48, 44, 27, 26, 13, 7], [51, 50, 44, 36, 32, 30, 2]]","[2, 3, 1]"
19,"(0.5, 84)","[[52, 51, 49, 47, 46, 45, 44, 40, 39, 38, 36, 34, 33, 32, 31, 30, 27, 19, 15, 14, 13, 11, 10, 7, 6, 5, 2], [52, 49, 48, 45, 43, 42, 41, 39, 38, 33, 32, 31, 30, 28, 26, 25, 24, 23, 21, 20, 18, 16, 14, 11, 9, 6, 2, 1], [53, 52, 51, 50, 49, 48, 47, 45, 44, 37, 36, 34, 32, 30, 29, 26, 24, 21, 20, 19, 18, 15, 13, 12, 10, 8, 7, 3, 2]]","[2, 3, 1]"
19,"(0.25, 42)","[[52, 51, 49, 47, 44, 40, 38, 32, 19, 15, 14, 13, 10, 6], [52, 48, 45, 41, 38, 33, 32, 30, 28, 25, 16, 9, 2, 1], [52, 51, 50, 44, 36, 32, 26, 20, 19, 15, 13, 8, 7, 2]]","[2, 3, 1]"
19,"(0.125, 21)","[[52, 51, 47, 44, 19, 14, 13], [52, 48, 45, 32, 16, 9, 1], [52, 51, 50, 44, 36, 7, 2]]","[2, 3, 1]"
20,"(0.5, 84)","[[50, 48, 47, 46, 43, 41, 40, 33, 32, 31, 30, 28, 25, 24, 23, 22, 21, 19, 18, 15, 14, 12, 11, 10, 6, 4, 0], [56, 51, 50, 49, 48, 47, 46, 45, 44, 43, 38, 36, 34, 32, 31, 29, 28, 23, 22, 21, 17, 16, 15, 14, 11, 9, 8, 7, 3], [57, 56, 54, 52, 50, 45, 43, 41, 37, 36, 35, 34, 33, 32, 30, 23, 20, 19, 18, 16, 15, 14, 13, 10, 8, 6, 5, 2]]","[3, 1, 2]"
20,"(0.25, 42)","[[50, 47, 43, 40, 33, 32, 30, 28, 24, 14, 12, 11, 4], [50, 49, 48, 43, 34, 32, 29, 23, 22, 21, 17, 15, 7, 3], [57, 56, 54, 52, 45, 43, 36, 34, 23, 20, 15, 14, 13, 10, 6]]","[3, 1, 2]"
20,"(0.125, 21)","[[50, 47, 43, 32, 24, 11, 4], [50, 49, 48, 32, 29, 7, 3], [57, 56, 54, 52, 45, 20, 14]]","[3, 1, 2]"
21,"(0.5, 84)","[[51, 50, 46, 45, 44, 42, 41, 39, 38, 32, 31, 30, 29, 28, 26, 21, 20, 19, 14, 13, 12, 10, 9, 8, 7, 3], [54, 52, 51, 49, 46, 45, 44, 43, 40, 39, 36, 32, 31, 30, 29, 27, 26, 23, 22, 21, 20, 18, 17, 16, 10, 8, 1, 0], [59, 58, 57, 56, 55, 52, 48, 47, 46, 44, 42, 41, 40, 39, 38, 37, 35, 33, 24, 21, 20, 17, 16, 15, 14, 10, 9, 8, 6, 5]]","[1, 3, 2]"
21,"(0.25, 42)","[[46, 45, 44, 38, 31, 30, 29, 26, 20, 19, 13, 7, 3], [54, 51, 49, 39, 32, 31, 29, 27, 18, 17, 16, 8, 1, 0], [58, 57, 56, 55, 52, 48, 44, 41, 40, 38, 24, 17, 16, 15, 10]]","[1, 3, 2]"
21,"(0.125, 21)","[[46, 45, 44, 31, 29, 13, 3], [54, 51, 39, 27, 16, 1, 0], [58, 57, 48, 40, 17, 16, 15]]","[1, 3, 2]"
22,"(0.5, 84)","[[53, 51, 49, 48, 47, 45, 44, 42, 41, 40, 38, 37, 33, 29, 27, 26, 23, 22, 21, 19, 18, 15, 14, 12, 11, 10, 2, 1], [54, 53, 51, 50, 49, 46, 45, 41, 39, 38, 37, 35, 32, 31, 30, 29, 28, 25, 17, 16, 13, 12, 11, 8, 5, 4, 2, 0], [56, 50, 49, 48, 46, 45, 44, 43, 41, 34, 33, 31, 30, 28, 27, 24, 22, 19, 17, 16, 13, 12, 9, 7, 6, 5, 2, 1]]","[3, 2, 1]"
22,"(0.25, 42)","[[53, 49, 48, 47, 45, 40, 37, 29, 27, 26, 14, 11, 2, 1], [54, 53, 50, 49, 45, 41, 39, 37, 32, 30, 17, 12, 8, 4], [49, 48, 45, 41, 33, 24, 17, 16, 12, 9, 7, 6, 5, 1]]","[3, 2, 1]"
22,"(0.125, 21)","[[53, 49, 48, 45, 27, 26, 11], [54, 53, 49, 41, 17, 12, 4], [49, 48, 41, 33, 12, 5, 1]]","[3, 2, 1]"
23,"(0.5, 84)","[[52, 51, 49, 47, 46, 45, 44, 40, 38, 36, 34, 33, 32, 31, 30, 29, 20, 17, 15, 14, 13, 9, 8, 6, 5, 4, 2], [53, 49, 48, 47, 45, 44, 43, 42, 40, 39, 38, 36, 33, 32, 31, 30, 29, 26, 25, 24, 23, 21, 18, 17, 15, 8, 2, 1], [58, 53, 52, 51, 49, 48, 47, 45, 39, 38, 37, 36, 35, 33, 32, 31, 28, 26, 21, 20, 19, 18, 16, 15, 13, 10, 8, 7, 6]]","[2, 3, 1]"
23,"(0.25, 42)","[[51, 49, 47, 44, 40, 38, 32, 31, 20, 17, 15, 14, 5], [53, 49, 47, 45, 44, 42, 33, 30, 25, 18, 15, 8, 2, 1], [58, 52, 51, 49, 39, 35, 33, 28, 26, 20, 19, 15, 13, 8, 6]]","[2, 3, 1]"
23,"(0.125, 21)","[[51, 47, 32, 31, 17, 15, 5], [53, 47, 44, 30, 15, 8, 1], [52, 51, 49, 39, 35, 33, 28]]","[2, 3, 1]"
24,"(0.5, 84)","[[51, 49, 48, 46, 44, 43, 42, 40, 39, 37, 35, 34, 33, 32, 31, 22, 20, 19, 16, 15, 14, 13, 10, 8, 7, 6, 3], [54, 47, 46, 45, 43, 42, 41, 40, 38, 37, 32, 31, 29, 28, 27, 25, 24, 23, 21, 19, 17, 16, 15, 12, 10, 9, 8, 2], [54, 52, 50, 48, 46, 45, 44, 43, 40, 39, 35, 32, 31, 29, 27, 25, 24, 23, 22, 20, 19, 17, 15, 12, 10, 9, 6, 2, 1]]","[2, 1, 3]"
24,"(0.25, 42)","[[51, 48, 46, 42, 40, 33, 31, 22, 20, 16, 15, 14, 7], [54, 46, 45, 42, 38, 37, 31, 27, 25, 16, 12, 10, 9, 2], [54, 52, 48, 43, 39, 32, 31, 29, 27, 24, 17, 15, 9, 2, 1]]","[2, 1, 3]"
24,"(0.125, 21)","[[51, 46, 42, 22, 20, 15, 14], [46, 45, 37, 31, 25, 16, 2], [54, 52, 48, 27, 15, 9, 1]]","[2, 1, 3]"
25,"(0.5, 84)","[[51, 50, 49, 48, 46, 45, 43, 41, 40, 39, 37, 34, 33, 32, 31, 30, 29, 26, 21, 19, 18, 15, 14, 13, 12, 8, 5], [54, 50, 49, 47, 46, 43, 42, 39, 38, 34, 31, 30, 29, 28, 27, 25, 24, 23, 22, 21, 19, 18, 15, 14, 10, 9, 8, 2, 1], [57, 56, 49, 48, 47, 45, 44, 43, 42, 41, 35, 34, 33, 32, 30, 29, 26, 24, 20, 19, 18, 15, 13, 12, 9, 7, 6, 2]]","[2, 3, 1]"
25,"(0.25, 42)","[[51, 49, 48, 41, 40, 33, 19, 18, 15, 14, 13, 8, 5], [54, 50, 47, 42, 38, 31, 30, 29, 28, 15, 14, 8, 2, 1], [49, 48, 47, 44, 34, 32, 29, 26, 20, 19, 18, 15, 13, 7, 6]]","[2, 3, 1]"
25,"(0.125, 21)","[[51, 49, 48, 41, 40, 19, 14], [54, 50, 47, 38, 31, 28, 14], [49, 48, 47, 34, 32, 13, 6]]","[2, 3, 1]"
26,"(0.5, 84)","[[49, 47, 46, 44, 43, 42, 40, 33, 31, 30, 29, 27, 25, 22, 20, 19, 16, 15, 14, 13, 11, 9, 8, 7, 4, 3], [49, 48, 47, 45, 43, 41, 40, 38, 37, 36, 35, 32, 30, 29, 26, 24, 23, 22, 20, 17, 16, 14, 13, 10, 9, 3, 1, 0], [59, 58, 56, 55, 53, 52, 51, 50, 47, 45, 44, 43, 40, 39, 38, 37, 36, 35, 32, 23, 21, 17, 16, 15, 14, 10, 8, 7, 6, 3]]","[1, 3, 2]"
26,"(0.25, 42)","[[46, 40, 33, 29, 27, 25, 20, 16, 15, 14, 9, 7, 3], [49, 47, 45, 43, 41, 40, 36, 30, 29, 26, 24, 14, 13, 1], [59, 58, 56, 55, 53, 50, 47, 45, 43, 23, 17, 16, 15, 8, 7]]","[1, 3, 2]"
