split seed,p,selection,labels
6,"(0.5, 60)","[[33, 31, 29, 28, 26, 22, 21, 18, 16, 15, 14, 11, 9, 8, 7, 6, 5, 1, 1], [36, 35, 34, 33, 30, 28, 27, 25, 21, 20, 19, 17, 15, 13, 12, 11, 7, 4, 2, 1], [40, 35, 32, 28, 26, 25, 23, 21, 20, 19, 18, 16, 15, 13, 10, 9, 6, 5, 2, 1, 0]]","[2, 0, 1]"
6,"(0.25, 30)","[[33, 31, 26, 22, 16, 15, 14, 9, 6, 5], [35, 33, 25, 21, 20, 19, 15, 13, 12, 11], [40, 35, 26, 23, 16, 13, 10, 6, 5, 1]]","[2, 0, 1]"
6,"(0.125, 15)","[[26, 15, 14, 6, 5], [33, 19, 13, 12, 11], [40, 26, 16, 10, 6]]","[2, 0, 1]"
7,"(0.5, 60)","[[34, 29, 25, 24, 23, 22, 20, 18, 17, 16, 14, 12, 10, 6, 4, 3, 1, 0], [33, 32, 29, 28, 23, 22, 19, 18, 16, 15, 14, 12, 11, 9, 8, 7, 6, 5, 4, 1, 1], [38, 37, 36, 33, 31, 30, 29, 28, 24, 23, 22, 21, 19, 17, 15, 14, 13, 12, 7, 5, 2]]","[1, 2, 0]"
7,"(0.25, 30)","[[34, 29, 22, 18, 12, 10, 4, 1, 0], [32, 19, 16, 15, 14, 11, 9, 8, 5, 4], [37, 36, 31, 23, 22, 21, 17, 14, 13, 12, 5]]","[1, 2, 0]"
7,"(0.125, 15)","[[34, 22, 12, 4, 0], [19, 15, 14, 5, 4], [36, 21, 14, 13, 12]]","[1, 2, 0]"
8,"(0.5, 60)","[[33, 32, 31, 28, 25, 24, 23, 22, 18, 17, 16, 15, 14, 12, 11, 10, 9, 5, 2], [35, 34, 32, 31, 28, 26, 25, 23, 22, 19, 18, 17, 14, 13, 9, 8, 6, 5, 2, 1, 0], [33, 32, 29, 26, 23, 22, 21, 18, 16, 15, 12, 11, 8, 7, 6, 5, 4, 1, 1, 0]]","[0, 1, 2]"
8,"(0.25, 30)","[[33, 31, 24, 16, 15, 14, 11, 10, 9], [28, 25, 23, 19, 14, 13, 9, 6, 2, 0], [33, 26, 23, 22, 18, 16, 15, 11, 8, 5, 4]]","[0, 1, 2]"
8,"(0.125, 15)","[[33, 31, 11, 10, 9], [28, 19, 9, 6, 0], [26, 18, 15, 5, 4]]","[0, 1, 2]"
9,"(0.5, 60)","[[38, 33, 30, 28, 27, 25, 23, 21, 20, 17, 16, 14, 12, 11, 8, 5, 3, 2, 1, 0], [37, 35, 34, 33, 32, 29, 27, 25, 24, 23, 22, 21, 17, 16, 15, 12, 11, 5, 3, 2], [33, 31, 30, 27, 26, 24, 23, 18, 17, 16, 15, 14, 13, 11, 10, 7, 6, 5, 1, 0]]","[1, 0, 2]"
9,"(0.25, 30)","[[38, 33, 23, 17, 14, 12, 11, 8, 2, 0], [35, 33, 32, 29, 25, 24, 16, 15, 12, 5], [33, 30, 24, 17, 15, 14, 13, 10, 7, 5]]","[1, 0, 2]"
9,"(0.125, 15)","[[38, 17, 14, 8, 0], [35, 32, 25, 15, 12], [24, 17, 14, 13, 5]]","[1, 0, 2]"
10,"(0.5, 60)","[[37, 32, 28, 27, 26, 22, 21, 20, 19, 16, 14, 11, 10, 7, 5, 4, 2, 1, 0], [37, 34, 33, 32, 31, 26, 25, 23, 19, 18, 17, 15, 12, 11, 10, 9, 6, 4, 2, 1], [41, 36, 35, 33, 30, 29, 28, 26, 22, 19, 18, 17, 15, 14, 13, 10, 7, 6, 5, 4, 0]]","[1, 0, 2]"
10,"(0.25, 30)","[[37, 32, 26, 22, 14, 11, 10, 7, 4, 0], [34, 31, 26, 19, 18, 17, 11, 10, 9, 6], [35, 33, 26, 18, 15, 14, 13, 10, 7, 4]]","[1, 0, 2]"
10,"(0.125, 15)","[[37, 26, 14, 7, 0], [31, 17, 11, 10, 9], [26, 18, 14, 13, 10]]","[1, 0, 2]"
11,"(0.5, 60)","[[32, 31, 28, 27, 26, 24, 20, 17, 16, 15, 12, 11, 9, 8, 7, 6, 5, 4, 0, 0], [38, 34, 31, 28, 27, 26, 24, 21, 19, 18, 17, 15, 13, 9, 7, 6, 5, 2, 1, 0], [39, 37, 36, 35, 34, 31, 26, 25, 23, 22, 18, 17, 16, 15, 13, 11, 10, 9, 6, 2]]","[2, 1, 0]"
11,"(0.25, 30)","[[32, 24, 20, 17, 15, 11, 9, 7, 5, 4], [38, 34, 24, 21, 17, 13, 9, 6, 1, 0], [36, 31, 26, 25, 17, 16, 15, 13, 10, 9]]","[2, 1, 0]"
11,"(0.125, 15)","[[24, 17, 15, 5, 4], [38, 24, 17, 9, 0], [26, 15, 13, 10, 9]]","[2, 1, 0]"
12,"(0.5, 60)","[[38, 37, 36, 33, 28, 27, 25, 24, 23, 22, 20, 18, 16, 15, 14, 13, 8, 5, 3, 2], [34, 31, 29, 27, 25, 24, 23, 21, 20, 19, 16, 14, 11, 10, 7, 6, 5, 4, 1, 0], [33, 30, 27, 26, 23, 21, 20, 17, 16, 15, 13, 12, 9, 8, 7, 6, 5, 1, 1, 0]]","[0, 1, 2]"
12,"(0.25, 30)","[[38, 36, 33, 23, 22, 18, 15, 14, 13, 8], [34, 23, 21, 16, 14, 11, 10, 7, 5, 1], [33, 30, 23, 21, 17, 16, 15, 12, 6, 5]]","[0, 1, 2]"
12,"(0.125, 15)","[[36, 22, 15, 14, 13], [34, 16, 14, 7, 5], [23, 16, 15, 6, 5]]","[0, 1, 2]"
13,"(0.5, 60)","[[29, 28, 25, 24, 23, 21, 20, 19, 17, 16, 15, 13, 12, 9, 6, 5, 4, 1, 1, 0], [34, 33, 32, 29, 28, 27, 26, 25, 24, 19, 18, 17, 15, 14, 12, 11, 6, 3, 2, 1], [39, 36, 33, 30, 28, 26, 24, 22, 21, 20, 18, 15, 12, 8, 7, 6, 3, 2, 1, 0]]","[2, 0, 1]"
13,"(0.25, 30)","[[28, 25, 24, 21, 16, 13, 12, 6, 5, 4], [34, 32, 29, 26, 18, 17, 14, 12, 11, 3], [39, 36, 28, 24, 18, 15, 12, 7, 2, 0]]","[2, 0, 1]"
13,"(0.125, 15)","[[24, 16, 13, 12, 4], [32, 26, 17, 12, 11], [39, 28, 18, 7, 0]]","[2, 0, 1]"
14,"(0.5, 60)","[[33, 32, 31, 29, 28, 27, 25, 24, 23, 22, 19, 18, 17, 15, 13, 12, 11, 10, 6, 4], [33, 31, 30, 29, 23, 22, 18, 17, 15, 14, 13, 11, 10, 8, 7, 6, 5, 4, 3, 1], [39, 34, 33, 30, 27, 25, 24, 23, 22, 19, 17, 15, 12, 11, 7, 5, 3, 2, 1, 0]]","[0, 2, 1]"
14,"(0.25, 30)","[[32, 31, 25, 24, 18, 17, 13, 11, 10, 4], [33, 30, 18, 15, 14, 13, 10, 8, 4, 3], [39, 27, 24, 19, 15, 12, 11, 7, 2, 0]]","[0, 2, 1]"
14,"(0.125, 15)","[[31, 25, 17, 11, 10], [18, 14, 13, 10, 4], [39, 27, 19, 7, 0]]","[0, 2, 1]"
15,"(0.5, 60)","[[31, 27, 25, 23, 22, 21, 18, 17, 16, 13, 12, 11, 9, 7, 5, 3, 2], [36, 34, 33, 30, 29, 27, 24, 23, 19, 18, 17, 16, 15, 13, 12, 9, 8, 7, 6, 5, 1], [43, 38, 36, 32, 31, 29, 27, 26, 24, 23, 22, 20, 16, 14, 13, 9, 7, 6, 3, 2, 1, 0]]","[0, 2, 1]"
15,"(0.25, 30)","[[23, 22, 17, 16, 13, 12, 7, 2], [36, 33, 27, 24, 19, 17, 16, 15, 12, 6, 5], [43, 38, 29, 26, 20, 16, 14, 13, 9, 6, 0]]","[0, 2, 1]"
15,"(0.125, 15)","[[17, 16, 12, 7], [27, 19, 16, 15, 6], [43, 29, 20, 9, 6, 0]]","[0, 2, 1]"
16,"(0.5, 60)","[[35, 34, 33, 32, 29, 25, 23, 22, 19, 18, 17, 15, 13, 12, 11, 10, 5, 2, 1], [38, 35, 32, 30, 29, 28, 27, 23, 22, 21, 20, 19, 17, 15, 12, 11, 7, 4, 3, 0], [34, 33, 28, 27, 24, 23, 21, 20, 19, 17, 16, 15, 12, 11, 8, 7, 6, 5, 1, 1, 0]]","[0, 1, 2]"
16,"(0.25, 30)","[[35, 32, 25, 18, 17, 13, 12, 11, 10, 5], [38, 35, 23, 22, 15, 12, 11, 7, 4, 0], [33, 28, 20, 17, 16, 15, 11, 8, 6, 5]]","[0, 1, 2]"
16,"(0.125, 15)","[[32, 17, 12, 11, 10], [38, 15, 12, 7, 4], [28, 20, 16, 15, 6]]","[0, 1, 2]"
17,"(0.5, 60)","[[30, 28, 25, 24, 21, 18, 17, 13, 12, 9, 6, 5, 4, 3, 2, 1, 1, 0], [34, 32, 28, 27, 25, 24, 23, 22, 20, 18, 16, 14, 11, 9, 7, 6, 3, 2, 1, 0], [41, 38, 37, 36, 35, 32, 28, 27, 25, 21, 20, 19, 18, 16, 14, 12, 11, 10, 9, 4, 2, 1]]","[2, 1, 0]"
17,"(0.25, 30)","[[28, 25, 24, 21, 13, 12, 9, 5, 2], [34, 28, 25, 22, 18, 14, 11, 7, 2, 0], [38, 35, 32, 28, 20, 19, 18, 14, 11, 10, 9]]","[2, 1, 0]"
17,"(0.125, 15)","[[21, 13, 12, 9, 2], [34, 25, 18, 7, 0], [35, 18, 11, 10, 9]]","[2, 1, 0]"
18,"(0.5, 60)","[[34, 30, 27, 26, 24, 22, 19, 18, 17, 15, 11, 9, 6, 5, 4, 2, 1, 0], [31, 29, 26, 25, 23, 20, 17, 16, 14, 13, 12, 10, 9, 8, 7, 6, 5, 4, 0, 0], [39, 38, 37, 36, 33, 29, 28, 27, 23, 22, 21, 20, 18, 16, 14, 13, 12, 11, 7, 5, 3, 2]]","[1, 2, 0]"
18,"(0.25, 30)","[[34, 30, 24, 19, 15, 11, 9, 6, 0], [31, 23, 20, 17, 13, 12, 9, 8, 5, 4], [39, 36, 29, 21, 20, 18, 16, 13, 12, 11, 5]]","[1, 2, 0]"
18,"(0.125, 15)","[[34, 30, 24, 6, 0], [23, 17, 13, 12, 5], [36, 20, 13, 12, 11]]","[1, 2, 0]"
19,"(0.5, 60)","[[38, 32, 29, 27, 25, 24, 22, 21, 20, 17, 13, 12, 8, 7, 6, 5, 3, 2, 1, 0], [35, 34, 33, 32, 30, 28, 26, 25, 23, 20, 19, 18, 17, 16, 14, 12, 11, 10, 6, 4], [33, 32, 30, 29, 28, 27, 25, 24, 21, 20, 17, 16, 14, 11, 8, 7, 6, 5, 4, 0]]","[1, 0, 2]"
19,"(0.25, 30)","[[38, 27, 24, 17, 13, 12, 8, 6, 2, 0], [35, 32, 26, 25, 19, 18, 17, 14, 11, 10], [32, 29, 28, 27, 17, 14, 8, 7, 6, 4]]","[1, 0, 2]"
19,"(0.125, 15)","[[38, 27, 17, 8, 0], [32, 26, 17, 11, 10], [17, 14, 8, 6, 4]]","[1, 0, 2]"
20,"(0.5, 60)","[[33, 30, 29, 28, 25, 24, 23, 22, 21, 20, 17, 15, 14, 11, 8, 7, 6, 2, 1, 0], [30, 29, 26, 25, 24, 23, 21, 20, 19, 16, 15, 13, 11, 10, 7, 6, 5, 4, 3, 0], [37, 36, 33, 29, 28, 27, 23, 22, 21, 20, 18, 16, 14, 13, 12, 11, 7, 4, 3, 2]]","[1, 2, 0]"
20,"(0.25, 30)","[[33, 23, 22, 17, 14, 11, 8, 6, 2, 0], [29, 23, 16, 13, 10, 7, 6, 5, 4, 3], [37, 36, 29, 22, 21, 20, 16, 13, 12, 11]]","[1, 2, 0]"
20,"(0.125, 15)","[[17, 14, 8, 6, 0], [23, 16, 13, 4, 3], [36, 20, 13, 12, 11]]","[1, 2, 0]"
21,"(0.5, 60)","[[35, 31, 30, 29, 28, 26, 23, 22, 21, 17, 16, 15, 13, 11, 10, 9, 6, 4], [38, 34, 31, 27, 25, 24, 22, 20, 19, 18, 14, 11, 10, 6, 5, 4, 3, 2, 1, 0], [36, 33, 30, 28, 24, 23, 20, 19, 18, 16, 15, 14, 11, 10, 8, 7, 6, 5, 4, 1, 1, 0]]","[0, 1, 2]"
21,"(0.25, 30)","[[31, 28, 23, 16, 15, 13, 11, 10, 9], [38, 34, 25, 22, 18, 14, 11, 5, 2, 0], [36, 33, 28, 19, 16, 15, 14, 10, 8, 7, 4]]","[0, 1, 2]"
21,"(0.125, 15)","[[31, 28, 15, 10, 9], [38, 25, 18, 5, 0], [28, 19, 15, 14, 4]]","[0, 1, 2]"
22,"(0.5, 60)","[[35, 31, 29, 28, 26, 24, 21, 20, 18, 16, 14, 12, 11, 7, 5, 4, 1, 0], [33, 31, 30, 27, 24, 23, 20, 19, 18, 16, 15, 14, 9, 8, 7, 6, 5, 4, 1, 1, 0], [39, 38, 37, 34, 30, 29, 28, 27, 24, 23, 22, 21, 20, 18, 16, 15, 14, 13, 8, 5, 3]]","[1, 2, 0]"
22,"(0.25, 30)","[[35, 29, 26, 18, 14, 12, 11, 7, 4], [33, 27, 24, 19, 16, 15, 14, 9, 5, 4], [34, 30, 29, 22, 21, 20, 16, 14, 13, 8, 5]]","[1, 2, 0]"
22,"(0.125, 15)","[[35, 26, 18, 7, 4], [27, 19, 15, 14, 5], [30, 21, 20, 14, 13]]","[1, 2, 0]"
23,"(0.5, 60)","[[33, 31, 30, 27, 21, 18, 17, 16, 15, 12, 11, 9, 8, 7, 6, 5, 1, 1, 0], [36, 35, 34, 33, 31, 30, 29, 27, 26, 24, 20, 19, 18, 17, 15, 13, 12, 11, 6, 4, 2], [40, 35, 32, 29, 28, 27, 25, 23, 22, 21, 19, 18, 17, 14, 11, 7, 5, 2, 1, 0]]","[2, 0, 1]"
23,"(0.25, 30)","[[33, 30, 17, 16, 15, 11, 9, 8, 5], [36, 33, 27, 26, 19, 18, 15, 13, 12, 11], [40, 35, 25, 21, 19, 14, 11, 7, 2, 1, 0]]","[2, 0, 1]"
23,"(0.125, 15)","[[30, 16, 15, 9, 5], [33, 27, 13, 12, 11], [40, 25, 14, 7, 0]]","[2, 0, 1]"
24,"(0.5, 60)","[[35, 33, 32, 31, 30, 27, 24, 22, 20, 18, 17, 16, 15, 12, 10, 9, 8, 4, 2], [31, 30, 28, 27, 25, 24, 23, 21, 20, 17, 16, 15, 13, 12, 10, 9, 6, 5, 4, 0], [41, 37, 35, 32, 31, 29, 27, 25, 24, 23, 19, 17, 14, 13, 10, 7, 6, 3, 2, 1, 0]]","[0, 2, 1]"
24,"(0.25, 30)","[[33, 31, 30, 27, 22, 16, 15, 12, 9, 8], [30, 27, 21, 17, 15, 13, 12, 9, 5, 4], [41, 37, 29, 27, 17, 14, 13, 10, 7, 0]]","[0, 2, 1]"
24,"(0.125, 15)","[[33, 30, 15, 9, 8], [21, 15, 12, 5, 4], [41, 29, 10, 7, 0]]","[0, 2, 1]"
25,"(0.5, 60)","[[34, 33, 32, 30, 28, 25, 24, 21, 20, 19, 18, 16, 15, 13, 12, 11, 8, 6, 3], [32, 30, 28, 27, 25, 24, 21, 20, 17, 16, 14, 13, 10, 9, 7, 6, 5, 4, 3, 0], [38, 35, 31, 30, 28, 26, 25, 23, 22, 21, 20, 18, 17, 12, 8, 7, 6, 5, 2, 1, 0]]","[0, 2, 1]"
25,"(0.25, 30)","[[25, 20, 19, 18, 15, 13, 12, 11, 6, 3], [32, 30, 24, 17, 14, 13, 9, 7, 4, 3], [38, 31, 28, 23, 21, 18, 12, 8, 6, 1]]","[0, 2, 1]"
25,"(0.125, 15)","[[20, 18, 15, 12, 11], [24, 17, 13, 4, 3], [38, 28, 18, 8, 6]]","[0, 2, 1]"
26,"(0.5, 60)","[[35, 29, 26, 24, 22, 21, 20, 19, 17, 15, 13, 10, 9, 7, 6, 5, 2, 1, 0], [33, 30, 26, 25, 23, 22, 21, 20, 18, 17, 15, 14, 13, 11, 8, 7, 6, 5, 1, 1, 0], [38, 37, 36, 35, 32, 30, 27, 26, 25, 21, 20, 19, 17, 15, 14, 13, 12, 7, 4, 3]]","[1, 2, 0]"
26,"(0.25, 30)","[[35, 24, 21, 17, 13, 10, 9, 5, 0], [33, 30, 26, 15, 14, 13, 8, 7, 6, 5], [38, 35, 27, 20, 19, 17, 15, 14, 13, 12, 4]]","[1, 2, 0]"
26,"(0.125, 15)","[[35, 24, 17, 5, 0], [26, 15, 14, 13, 5], [35, 19, 14, 13, 12]]","[1, 2, 0]"
27,"(0.5, 60)","[[35, 31, 29, 26, 25, 23, 21, 19, 18, 16, 14, 12, 11, 8, 6, 5, 2, 1, 0], [38, 36, 35, 34, 33, 29, 27, 26, 20, 19, 18, 17, 15, 13, 11, 10, 9, 6, 5, 3, 2], [41, 33, 32, 29, 28, 26, 23, 20, 19, 17, 16, 15, 12, 9, 8, 7, 6, 5, 4, 0]]","[1, 0, 2]"
27,"(0.25, 30)","[[35, 31, 23, 21, 16, 12, 8, 6, 0], [36, 34, 33, 27, 18, 17, 13, 10, 9, 6], [32, 26, 23, 19, 17, 16, 15, 12, 9, 5, 4]]","[1, 0, 2]"
27,"(0.125, 15)","[[35, 23, 8, 6, 0], [33, 27, 17, 10, 9], [26, 19, 16, 15, 5]]","[1, 0, 2]"
28,"(0.5, 60)","[[34, 33, 32, 30, 29, 27, 26, 25, 24, 20, 19, 18, 17, 15, 13, 12, 11, 7, 4, 1], [34, 32, 31, 29, 28, 22, 21, 19, 18, 16, 15, 14, 11, 10, 8, 7, 6, 4, 1, 1], [39, 36, 34, 33, 31, 30, 25, 23, 22, 21, 19, 16, 13, 12, 11, 8, 5, 2, 1, 0]]","[0, 2, 1]"
28,"(0.25, 30)","[[34, 32, 27, 26, 19, 18, 15, 12, 11, 4], [34, 31, 19, 16, 15, 14, 10, 8, 7, 4], [39, 36, 25, 23, 16, 13, 12, 8, 5, 0]]","[0, 2, 1]"
28,"(0.125, 15)","[[34, 32, 27, 12, 11], [19, 16, 15, 14, 10], [39, 16, 8, 5, 0]]","[0, 2, 1]"
29,"(0.5, 60)","[[37, 31, 30, 26, 25, 24, 22, 19, 18, 16, 15, 14, 13, 11, 10, 7, 6, 5, 4], [37, 35, 34, 33, 32, 29, 25, 24, 23, 22, 19, 18, 17, 16, 12, 11, 10, 9, 2, 1], [40, 35, 30, 28, 26, 25, 24, 22, 21, 20, 18, 17, 14, 12, 8, 7, 5, 3, 2, 1, 0]]","[2, 0, 1]"
29,"(0.25, 30)","[[30, 26, 22, 19, 15, 13, 10, 7, 5, 4], [34, 32, 29, 25, 18, 17, 16, 11, 10, 9], [40, 35, 28, 24, 18, 14, 12, 8, 2, 0]]","[2, 0, 1]"
29,"(0.125, 15)","[[22, 15, 13, 5, 4], [32, 16, 11, 10, 9], [40, 28, 18, 8, 0]]","[2, 0, 1]"
30,"(0.5, 60)","[[33, 32, 31, 30, 29, 25, 23, 22, 18, 17, 16, 14, 12, 11, 10, 9, 8, 4, 2], [33, 32, 30, 28, 27, 26, 25, 24, 20, 19, 16, 15, 13, 12, 11, 8, 5, 4, 3, 2], [42, 37, 35, 33, 32, 30, 27, 25, 24, 23, 21, 18, 15, 14, 10, 7, 6, 3, 2, 1, 0]]","[0, 2, 1]"
30,"(0.25, 30)","[[32, 30, 29, 17, 16, 12, 10, 9, 8], [30, 24, 20, 16, 15, 13, 12, 11, 8, 5], [42, 37, 30, 27, 21, 18, 15, 14, 10, 7, 0]]","[0, 2, 1]"
30,"(0.125, 15)","[[29, 16, 10, 9, 8], [24, 16, 12, 11, 8], [42, 30, 21, 10, 0]]","[0, 2, 1]"
31,"(0.5, 60)","[[31, 29, 26, 25, 23, 22, 20, 19, 18, 15, 14, 11, 10, 8, 7, 6, 5, 1, 0], [39, 35, 33, 30, 27, 25, 22, 21, 20, 16, 14, 13, 12, 10, 7, 6, 3, 2, 1, 0], [36, 35, 34, 33, 30, 29, 28, 26, 25, 24, 21, 20, 19, 17, 15, 13, 12, 9, 7, 3, 2]]","[2, 1, 0]"
31,"(0.25, 30)","[[31, 26, 25, 20, 14, 10, 8, 7, 6, 5], [39, 35, 27, 22, 14, 13, 12, 10, 7, 0], [36, 33, 26, 25, 20, 19, 17, 15, 13, 12]]","[2, 1, 0]"
31,"(0.125, 15)","[[14, 10, 7, 6, 5], [39, 27, 14, 10, 7], [33, 26, 15, 13, 12]]","[2, 1, 0]"
32,"(0.5, 60)","[[34, 30, 27, 22, 20, 19, 18, 17, 16, 14, 13, 9, 8, 5, 3, 2, 1, 0], [36, 35, 34, 31, 26, 25, 24, 23, 20, 19, 18, 17, 15, 13, 12, 11, 10, 5, 3, 2, 1], [34, 33, 30, 28, 24, 21, 20, 18, 17, 16, 13, 12, 10, 9, 8, 7, 6, 5, 1, 1, 0]]","[1, 0, 2]"
32,"(0.25, 30)","[[34, 30, 22, 19, 14, 9, 8, 5, 0], [36, 34, 26, 19, 18, 17, 15, 12, 11, 10], [33, 28, 24, 20, 18, 17, 16, 12, 10, 6, 5]]","[1, 0, 2]"
32,"(0.125, 15)","[[34, 22, 14, 5, 0], [34, 17, 12, 11, 10], [28, 20, 17, 16, 6]]","[1, 0, 2]"
33,"(0.5, 60)","[[32, 28, 27, 25, 24, 23, 22, 20, 18, 17, 16, 15, 12, 8, 7, 6, 5, 4, 1, 0], [37, 36, 35, 32, 30, 28, 27, 25, 22, 21, 20, 18, 16, 14, 13, 12, 11, 7, 4, 2], [35, 33, 30, 29, 27, 23, 21, 20, 19, 17, 16, 13, 12, 9, 8, 7, 6, 5, 4, 0]]","[1, 0, 2]"
33,"(0.25, 30)","[[28, 25, 22, 20, 18, 15, 12, 8, 5, 0], [37, 35, 32, 28, 21, 20, 16, 13, 12, 11], [35, 33, 27, 23, 20, 16, 12, 9, 5, 4]]","[1, 0, 2]"
33,"(0.125, 15)","[[25, 22, 12, 8, 5], [35, 20, 13, 12, 11], [27, 20, 16, 5, 4]]","[1, 0, 2]"
34,"(0.5, 60)","[[30, 28, 27, 25, 22, 20, 19, 16, 15, 13, 12, 11, 10, 7, 6, 5, 4, 1, 1, 0], [34, 33, 31, 29, 28, 26, 25, 24, 19, 18, 17, 16, 15, 12, 11, 8, 7, 4, 2, 1], [39, 35, 31, 30, 28, 26, 25, 24, 22, 21, 20, 17, 15, 13, 10, 5, 4, 2, 1, 0]]","[2, 0, 1]"
34,"(0.25, 30)","[[30, 27, 22, 16, 13, 12, 11, 7, 5, 4], [33, 31, 26, 18, 17, 16, 12, 11, 7, 4], [39, 35, 24, 22, 17, 13, 10, 5, 2, 0]]","[2, 0, 1]"
34,"(0.125, 15)","[[22, 16, 12, 11, 5], [26, 18, 17, 16, 11], [39, 17, 13, 5, 0]]","[2, 0, 1]"
35,"(0.5, 60)","[[34, 31, 29, 28, 25, 23, 21, 20, 18, 17, 16, 14, 11, 8, 5, 2, 1, 0], [37, 36, 35, 34, 31, 26, 24, 20, 19, 18, 17, 16, 14, 12, 11, 10, 9, 6, 4, 3, 2], [34, 32, 31, 28, 25, 24, 21, 20, 19, 18, 17, 15, 14, 11, 10, 8, 7, 6, 5, 1, 0]]","[1, 0, 2]"
