split seed,selection seed,p,selection,labels
0,3,"(0.25, 72)","[[16, 6, 4, 7], [4, 28, 22, 37, 32, 29, 16, 30, 13, 35], [30, 40, 26, 25, 6, 9, 4, 31, 38, 16, 15], [43, 33, 25, 18, 9, 13, 6, 36, 34, 12, 15, 4], [12, 39, 9, 47, 31, 28, 13, 48, 45, 6, 36, 23, 37], [91, 75, 9, 61, 54, 6, 57, 86, 46, 67, 25, 68, 53, 76, 78, 42, 31, 90, 81, 12, 8, 4]]","[6, 4, 5, 2, 3, 1]"
0,3,"(0.125, 36)","[[16, 6], [4, 28, 22, 37, 32], [30, 40, 26, 25, 6], [43, 33, 25, 18, 9, 13], [12, 39, 9, 47, 31, 28], [91, 75, 9, 61, 54, 6, 57, 86, 46, 67, 25, 68]]","[6, 4, 5, 2, 3, 1]"
0,4,"(0.5, 144)","[[10, 3, 9, 4, 0, 13, 6, 16, 11], [17, 27, 15, 19, 29, 11, 21, 13, 22, 7, 32, 16, 36, 28, 37, 14, 2, 26, 24], [31, 41, 4, 15, 28, 19, 16, 7, 18, 11, 27, 35, 12, 22, 25, 20, 40, 13, 10, 39, 34], [32, 45, 4, 15, 38, 20, 16, 7, 18, 11, 22, 37, 12, 42, 26, 25, 44, 13, 10, 19, 28, 35, 27], [6, 48, 11, 4, 12, 31, 7, 25, 41, 18, 22, 28, 33, 15, 16, 27, 37, 20, 24, 47, 13, 10, 19, 29, 42], [13, 81, 35, 10, 54, 76, 47, 70, 63, 14, 27, 73, 89, 26, 53, 20, 24, 78, 74, 48, 39, 5, 65, 29, 37, 4, 64, 59, 16, 19, 71, 80, 18, 43, 7, 6, 41, 11, 62, 22, 68, 61, 12, 85, 25, 67, 17]]","[6, 4, 5, 2, 3, 1]"
0,4,"(0.25, 72)","[[10, 3, 9, 4], [17, 27, 15, 19, 29, 11, 21, 13, 22, 7], [31, 41, 4, 15, 28, 19, 16, 7, 18, 11, 27], [32, 45, 4, 15, 38, 20, 16, 7, 18, 11, 22, 37], [6, 48, 11, 4, 12, 31, 7, 25, 41, 18, 22, 28, 33], [13, 81, 35, 10, 54, 76, 47, 70, 63, 14, 27, 73, 89, 26, 53, 20, 24, 78, 74, 48, 39, 5]]","[6, 4, 5, 2, 3, 1]"
0,4,"(0.125, 36)","[[10, 3], [17, 27, 15, 19, 29], [31, 41, 4, 15, 28], [32, 45, 4, 15, 38, 20], [6, 48, 11, 4, 12, 31], [13, 81, 35, 10, 54, 76, 47, 70, 63, 14, 27, 73]]","[6, 4, 5, 2, 3, 1]"
0,5,"(0.5, 144)","[[5, 1, 10, 2, 11, 16, 12, 7, 4], [3, 24, 33, 25, 4, 6, 20, 19, 5, 0, 23, 2, 18, 36, 22, 10, 34, 26, 1], [28, 23, 25, 3, 24, 6, 4, 36, 29, 5, 0, 41, 2, 22, 40, 26, 19, 10, 37, 18, 20], [28, 26, 6, 17, 23, 19, 2, 40, 3, 29, 4, 37, 0, 21, 5, 44, 32, 45, 31, 25, 24, 10, 41], [42, 29, 6, 19, 28, 17, 2, 43, 3, 21, 31, 4, 32, 0, 23, 5, 48, 34, 37, 26, 41, 33, 24, 10, 44], [40, 37, 52, 74, 54, 20, 10, 49, 34, 28, 50, 32, 17, 22, 23, 24, 12, 64, 88, 43, 35, 13, 55, 66, 56, 81, 6, 71, 26, 84, 91, 63, 48, 21, 25, 33, 29, 39, 14, 57, 42, 68, 3, 11, 89, 45, 92]]","[6, 4, 5, 2, 3, 1]"
0,5,"(0.25, 72)","[[5, 1, 10, 2], [3, 24, 33, 25, 4, 6, 20, 19, 5, 0], [28, 23, 25, 3, 24, 6, 4, 36, 29, 5, 0], [28, 26, 6, 17, 23, 19, 2, 40, 3, 29, 4, 37], [42, 29, 6, 19, 28, 17, 2, 43, 3, 21, 31, 4, 32], [40, 37, 52, 74, 54, 20, 10, 49, 34, 28, 50, 32, 17, 22, 23, 24, 12, 64, 88, 43, 35, 13]]","[6, 4, 5, 2, 3, 1]"
0,5,"(0.125, 36)","[[5, 1], [3, 24, 33, 25, 4], [28, 23, 25, 3, 24], [28, 26, 6, 17, 23, 19], [42, 29, 6, 19, 28, 17], [40, 37, 52, 74, 54, 20, 10, 49, 34, 28, 50, 32]]","[6, 4, 5, 2, 3, 1]"
0,6,"(0.5, 144)","[[13, 11, 6, 7, 2, 8, 5, 14, 1], [28, 7, 3, 22, 0, 19, 21, 34, 17, 26, 32, 6, 36, 37, 27, 5, 18, 23, 2], [6, 23, 32, 41, 21, 36, 3, 7, 40, 19, 0, 30, 31, 24, 17, 18, 33, 29, 5, 22, 38], [45, 38, 36, 23, 7, 0, 6, 32, 14, 30, 44, 24, 19, 3, 39, 28, 40, 29, 34, 17, 21, 43, 37], [49, 40, 38, 23, 7, 0, 6, 34, 14, 31, 48, 24, 19, 3, 41, 28, 43, 30, 47, 17, 21, 29, 39, 18, 22], [55, 20, 23, 30, 0, 38, 37, 64, 39, 59, 17, 74, 61, 34, 51, 44, 76, 86, 54, 13, 83, 89, 90, 16, 9, 45, 52, 27, 47, 29, 32, 53, 71, 67, 12, 78, 46, 36, 7, 48, 24, 41, 22, 35, 18, 85, 11]]","[6, 4, 5, 2, 3, 1]"
0,6,"(0.25, 72)","[[13, 11, 6, 7], [28, 7, 3, 22, 0, 19, 21, 34, 17, 26], [6, 23, 32, 41, 21, 36, 3, 7, 40, 19, 0], [45, 38, 36, 23, 7, 0, 6, 32, 14, 30, 44, 24], [49, 40, 38, 23, 7, 0, 6, 34, 14, 31, 48, 24, 19], [55, 20, 23, 30, 0, 38, 37, 64, 39, 59, 17, 74, 61, 34, 51, 44, 76, 86, 54, 13, 83, 89]]","[6, 4, 5, 2, 3, 1]"
0,6,"(0.125, 36)","[[13, 11], [28, 7, 3, 22, 0], [6, 23, 32, 41, 21], [45, 38, 36, 23, 7, 0], [49, 40, 38, 23, 7, 0], [55, 20, 23, 30, 0, 38, 37, 64, 39, 59, 17, 74]]","[6, 4, 5, 2, 3, 1]"
0,7,"(0.5, 144)","[[13, 11, 16, 8, 5, 2, 1, 0, 14], [9, 1, 21, 2, 13, 18, 17, 20, 15, 26, 24, 5, 35, 22, 27, 34, 11, 0, 12], [18, 34, 15, 31, 17, 39, 1, 30, 32, 38, 9, 36, 2, 21, 13, 20, 24, 5, 22, 29, 11], [13, 20, 15, 18, 22, 34, 1, 24, 10, 33, 27, 43, 30, 17, 32, 35, 38, 9, 2, 40, 31, 21, 5], [13, 15, 22, 42, 30, 27, 1, 20, 10, 36, 32, 46, 34, 18, 17, 35, 29, 41, 9, 2, 33, 16, 21, 31, 38], [20, 89, 73, 59, 37, 15, 51, 36, 26, 33, 13, 22, 64, 12, 58, 40, 11, 62, 18, 90, 2, 17, 66, 5, 70, 80, 86, 30, 50, 49, 45, 27, 52, 21, 32, 43, 41, 82, 92, 65, 10, 54, 77, 28, 29, 31, 16]]","[6, 4, 5, 2, 3, 1]"
0,7,"(0.25, 72)","[[13, 11, 16, 8], [9, 1, 21, 2, 13, 18, 17, 20, 15, 26], [18, 34, 15, 31, 17, 39, 1, 30, 32, 38, 9], [13, 20, 15, 18, 22, 34, 1, 24, 10, 33, 27, 43], [13, 15, 22, 42, 30, 27, 1, 20, 10, 36, 32, 46, 34], [20, 89, 73, 59, 37, 15, 51, 36, 26, 33, 13, 22, 64, 12, 58, 40, 11, 62, 18, 90, 2, 17]]","[6, 4, 5, 2, 3, 1]"
0,7,"(0.125, 36)","[[13, 11], [9, 1, 21, 2, 13], [18, 34, 15, 31, 17], [13, 20, 15, 18, 22, 34], [13, 15, 22, 42, 30, 27], [20, 89, 73, 59, 37, 15, 51, 36, 26, 33, 13, 22]]","[6, 4, 5, 2, 3, 1]"
0,8,"(0.5, 144)","[[6, 13, 2, 14, 15, 12, 0, 7, 11], [31, 34, 0, 28, 11, 24, 1, 27, 36, 30, 25, 7, 23, 35, 4, 37, 22, 6, 14], [37, 41, 12, 40, 17, 22, 30, 0, 25, 35, 16, 11, 1, 32, 39, 38, 24, 28, 23, 34, 7], [40, 45, 12, 44, 17, 43, 33, 0, 28, 23, 16, 11, 1, 35, 42, 32, 30, 31, 25, 37, 7, 22, 38], [44, 49, 36, 23, 48, 22, 33, 0, 17, 45, 39, 38, 16, 12, 11, 1, 32, 46, 30, 31, 2, 28, 42, 7, 25], [3, 1, 88, 90, 12, 80, 50, 58, 19, 11, 35, 23, 91, 52, 29, 30, 33, 32, 16, 71, 41, 24, 87, 39, 34, 47, 44, 6, 64, 82, 65, 40, 54, 75, 66, 4, 73, 25, 36, 62, 55, 38, 2, 7, 0, 10, 70]]","[6, 4, 5, 2, 3, 1]"
0,8,"(0.25, 72)","[[6, 13, 2, 14], [31, 34, 0, 28, 11, 24, 1, 27, 36, 30], [37, 41, 12, 40, 17, 22, 30, 0, 25, 35, 16], [40, 45, 12, 44, 17, 43, 33, 0, 28, 23, 16, 11], [44, 49, 36, 23, 48, 22, 33, 0, 17, 45, 39, 38, 16], [3, 1, 88, 90, 12, 80, 50, 58, 19, 11, 35, 23, 91, 52, 29, 30, 33, 32, 16, 71, 41, 24]]","[6, 4, 5, 2, 3, 1]"
0,8,"(0.125, 36)","[[6, 13], [31, 34, 0, 28, 11], [37, 41, 12, 40, 17], [40, 45, 12, 44, 17, 43], [44, 49, 36, 23, 48, 22], [3, 1, 88, 90, 12, 80, 50, 58, 19, 11, 35, 23]]","[6, 4, 5, 2, 3, 1]"
0,9,"(0.5, 144)","[[15, 2, 7, 0, 14, 9, 13, 3, 5], [19, 17, 32, 4, 13, 2, 23, 15, 16, 21, 34, 20, 8, 30, 9, 7, 6, 5, 11], [26, 20, 7, 13, 37, 4, 36, 2, 17, 25, 14, 34, 21, 15, 23, 8, 16, 9, 6, 19, 5], [20, 14, 36, 21, 7, 26, 41, 4, 31, 2, 25, 30, 34, 32, 15, 23, 37, 13, 8, 17, 16, 9, 6], [21, 37, 2, 14, 44, 7, 15, 20, 32, 25, 30, 45, 38, 26, 3, 31, 4, 41, 35, 36, 34, 43, 13, 8, 17], [6, 46, 26, 76, 28, 38, 61, 3, 20, 45, 86, 70, 71, 67, 42, 25, 41, 21, 31, 39, 23, 66, 36, 17, 43, 55, 68, 77, 14, 32, 75, 88, 2, 15, 7, 81, 27, 34, 73, 51, 8, 48, 57, 30, 69, 24, 5]]","[6, 4, 5, 2, 3, 1]"
0,9,"(0.25, 72)","[[15, 2, 7, 0], [19, 17, 32, 4, 13, 2, 23, 15, 16, 21], [26, 20, 7, 13, 37, 4, 36, 2, 17, 25, 14], [20, 14, 36, 21, 7, 26, 41, 4, 31, 2, 25, 30], [21, 37, 2, 14, 44, 7, 15, 20, 32, 25, 30, 45, 38], [6, 46, 26, 76, 28, 38, 61, 3, 20, 45, 86, 70, 71, 67, 42, 25, 41, 21, 31, 39, 23, 66]]","[6, 4, 5, 2, 3, 1]"
0,9,"(0.125, 36)","[[15, 2], [19, 17, 32, 4, 13], [26, 20, 7, 13, 37], [20, 14, 36, 21, 7, 26], [21, 37, 2, 14, 44, 7], [6, 46, 26, 76, 28, 38, 61, 3, 20, 45, 86, 70]]","[6, 4, 5, 2, 3, 1]"
0,10,"(0.5, 144)","[[5, 3, 14, 7, 6, 8, 10, 2, 12], [24, 32, 2, 12, 7, 5, 33, 3, 13, 18, 14, 1, 23, 20, 22, 6, 11, 35, 21], [30, 21, 26, 7, 31, 23, 2, 17, 18, 20, 12, 6, 32, 3, 40, 5, 13, 14, 24, 34, 1], [30, 10, 21, 34, 35, 40, 18, 3, 41, 7, 6, 2, 31, 27, 44, 43, 38, 12, 20, 32, 23, 5, 13], [37, 23, 44, 42, 47, 20, 3, 30, 7, 6, 39, 2, 40, 32, 10, 21, 35, 27, 18, 31, 1, 12, 34, 45, 26], [34, 90, 3, 35, 19, 66, 63, 41, 44, 71, 39, 79, 1, 75, 60, 14, 85, 56, 48, 42, 53, 21, 6, 26, 38, 59, 50, 87, 2, 58, 67, 76, 84, 37, 43, 4, 5, 46, 32, 20, 78, 74, 45, 47, 17, 55, 52]]","[6, 4, 5, 2, 3, 1]"
0,10,"(0.25, 72)","[[5, 3, 14, 7], [24, 32, 2, 12, 7, 5, 33, 3, 13, 18], [30, 21, 26, 7, 31, 23, 2, 17, 18, 20, 12], [30, 10, 21, 34, 35, 40, 18, 3, 41, 7, 6, 2], [37, 23, 44, 42, 47, 20, 3, 30, 7, 6, 39, 2, 40], [34, 90, 3, 35, 19, 66, 63, 41, 44, 71, 39, 79, 1, 75, 60, 14, 85, 56, 48, 42, 53, 21]]","[6, 4, 5, 2, 3, 1]"
0,10,"(0.125, 36)","[[5, 3], [24, 32, 2, 12, 7], [30, 21, 26, 7, 31], [30, 10, 21, 34, 35, 40], [37, 23, 44, 42, 47, 20], [34, 90, 3, 35, 19, 66, 63, 41, 44, 71, 39, 79]]","[6, 4, 5, 2, 3, 1]"
0,11,"(0.5, 144)","[[9, 3, 6, 15, 10, 0, 4, 5, 8], [34, 26, 15, 29, 37, 28, 21, 9, 6, 3, 14, 20, 8, 11, 19, 22, 30, 5, 10], [20, 41, 21, 8, 9, 23, 29, 22, 15, 19, 14, 30, 39, 32, 11, 6, 3, 35, 38, 34, 5], [2, 31, 39, 22, 8, 14, 44, 34, 29, 41, 30, 9, 35, 26, 43, 23, 15, 0, 19, 37, 11, 6, 3], [37, 45, 36, 22, 2, 48, 26, 38, 8, 19, 14, 42, 5, 35, 30, 9, 43, 39, 49, 21, 15, 0, 23, 41, 11], [79, 47, 22, 61, 58, 51, 68, 28, 29, 77, 86, 72, 52, 36, 16, 73, 50, 6, 38, 87, 21, 49, 20, 56, 39, 85, 2, 11, 9, 30, 54, 69, 42, 41, 65, 18, 62, 26, 92, 19, 60, 90, 46, 78, 84, 70, 8]]","[6, 4, 5, 2, 3, 1]"
0,11,"(0.25, 72)","[[9, 3, 6, 15], [34, 26, 15, 29, 37, 28, 21, 9, 6, 3], [20, 41, 21, 8, 9, 23, 29, 22, 15, 19, 14], [2, 31, 39, 22, 8, 14, 44, 34, 29, 41, 30, 9], [37, 45, 36, 22, 2, 48, 26, 38, 8, 19, 14, 42, 5], [79, 47, 22, 61, 58, 51, 68, 28, 29, 77, 86, 72, 52, 36, 16, 73, 50, 6, 38, 87, 21, 49]]","[6, 4, 5, 2, 3, 1]"
0,11,"(0.125, 36)","[[9, 3], [34, 26, 15, 29, 37], [20, 41, 21, 8, 9], [2, 31, 39, 22, 8, 14], [37, 45, 36, 22, 2, 48], [79, 47, 22, 61, 58, 51, 68, 28, 29, 77, 86, 72]]","[6, 4, 5, 2, 3, 1]"
0,12,"(0.5, 144)","[[5, 8, 9, 15, 7, 4, 12, 14, 0], [19, 23, 26, 18, 28, 15, 21, 9, 35, 24, 36, 7, 1, 30, 4, 14, 32, 25, 31], [28, 29, 7, 17, 33, 31, 40, 24, 23, 9, 14, 19, 16, 15, 39, 30, 26, 1, 20, 4, 36], [38, 42, 7, 37, 32, 23, 15, 30, 17, 29, 14, 28, 20, 9, 44, 33, 43, 16, 19, 26, 31, 1, 24], [28, 46, 7, 41, 36, 29, 21, 48, 19, 8, 17, 38, 37, 15, 31, 14, 26, 9, 33, 47, 20, 16, 24, 42, 32], [61, 8, 14, 7, 17, 64, 83, 57, 39, 12, 16, 56, 84, 55, 36, 31, 47, 60, 38, 23, 40, 42, 78, 68, 26, 86, 69, 21, 19, 81, 9, 29, 79, 53, 72, 20, 10, 28, 89, 88, 41, 66, 51, 65, 87, 11, 37]]","[6, 4, 5, 2, 3, 1]"
0,12,"(0.25, 72)","[[5, 8, 9, 15], [19, 23, 26, 18, 28, 15, 21, 9, 35, 24], [28, 29, 7, 17, 33, 31, 40, 24, 23, 9, 14], [38, 42, 7, 37, 32, 23, 15, 30, 17, 29, 14, 28], [28, 46, 7, 41, 36, 29, 21, 48, 19, 8, 17, 38, 37], [61, 8, 14, 7, 17, 64, 83, 57, 39, 12, 16, 56, 84, 55, 36, 31, 47, 60, 38, 23, 40, 42]]","[6, 4, 5, 2, 3, 1]"
0,12,"(0.125, 36)","[[5, 8], [19, 23, 26, 18, 28], [28, 29, 7, 17, 33], [38, 42, 7, 37, 32, 23], [28, 46, 7, 41, 36, 29], [61, 8, 14, 7, 17, 64, 83, 57, 39, 12, 16, 56]]","[6, 4, 5, 2, 3, 1]"
0,13,"(0.5, 144)","[[15, 8, 14, 1, 7, 5, 12, 13, 11], [35, 7, 33, 23, 19, 3, 32, 4, 15, 6, 24, 28, 17, 12, 8, 21, 1, 37, 27], [30, 17, 23, 32, 15, 39, 37, 14, 3, 7, 5, 4, 27, 6, 31, 12, 8, 28, 41, 1, 22], [6, 31, 4, 36, 42, 28, 41, 17, 40, 23, 15, 14, 39, 43, 20, 5, 3, 7, 32, 12, 8, 24, 45], [43, 4, 20, 46, 0, 14, 36, 28, 24, 6, 27, 23, 39, 17, 15, 30, 45, 5, 3, 7, 44, 12, 8, 41, 49], [44, 12, 86, 41, 47, 42, 67, 14, 59, 70, 37, 20, 63, 76, 9, 23, 85, 3, 4, 33, 91, 89, 71, 31, 29, 84, 13, 60, 8, 27, 68, 17, 92, 88, 83, 0, 65, 43, 30, 36, 50, 62, 10, 80, 38, 64, 15]]","[6, 4, 5, 2, 3, 1]"
0,13,"(0.25, 72)","[[15, 8, 14, 1], [35, 7, 33, 23, 19, 3, 32, 4, 15, 6], [30, 17, 23, 32, 15, 39, 37, 14, 3, 7, 5], [6, 31, 4, 36, 42, 28, 41, 17, 40, 23, 15, 14], [43, 4, 20, 46, 0, 14, 36, 28, 24, 6, 27, 23, 39], [44, 12, 86, 41, 47, 42, 67, 14, 59, 70, 37, 20, 63, 76, 9, 23, 85, 3, 4, 33, 91, 89]]","[6, 4, 5, 2, 3, 1]"
0,13,"(0.125, 36)","[[15, 8], [35, 7, 33, 23, 19], [30, 17, 23, 32, 15], [6, 31, 4, 36, 42, 28], [43, 4, 20, 46, 0, 14], [44, 12, 86, 41, 47, 42, 67, 14, 59, 70, 37, 20]]","[6, 4, 5, 2, 3, 1]"
0,14,"(0.5, 144)","[[10, 14, 4, 16, 3, 1, 2, 5, 15], [6, 27, 2, 1, 17, 36, 18, 20, 21, 3, 34, 14, 9, 15, 30, 31, 5, 37, 19], [40, 34, 2, 17, 18, 14, 41, 15, 37, 6, 1, 35, 30, 27, 3, 38, 8, 9, 19, 21, 5], [18, 17, 29, 27, 45, 36, 19, 2, 34, 39, 6, 14, 1, 21, 11, 37, 31, 33, 15, 3, 41, 8, 9], [47, 21, 14, 30, 37, 40, 19, 1, 2, 6, 36, 44, 17, 11, 39, 29, 31, 18, 34, 35, 15, 3, 45, 8, 9], [76, 46, 20, 48, 72, 33, 2, 63, 64, 18, 24, 83, 36, 65, 29, 38, 6, 90, 56, 84, 66, 69, 82, 35, 23, 53, 49, 8, 44, 39, 91, 34, 42, 51, 52, 16, 81, 58, 73, 92, 14, 57, 3, 55, 21, 74, 15]]","[6, 4, 5, 2, 3, 1]"
0,14,"(0.25, 72)","[[10, 14, 4, 16], [6, 27, 2, 1, 17, 36, 18, 20, 21, 3], [40, 34, 2, 17, 18, 14, 41, 15, 37, 6, 1], [18, 17, 29, 27, 45, 36, 19, 2, 34, 39, 6, 14], [47, 21, 14, 30, 37, 40, 19, 1, 2, 6, 36, 44, 17], [76, 46, 20, 48, 72, 33, 2, 63, 64, 18, 24, 83, 36, 65, 29, 38, 6, 90, 56, 84, 66, 69]]","[6, 4, 5, 2, 3, 1]"
0,14,"(0.125, 36)","[[10, 14], [6, 27, 2, 1, 17], [40, 34, 2, 17, 18], [18, 17, 29, 27, 45, 36], [47, 21, 14, 30, 37, 40], [76, 46, 20, 48, 72, 33, 2, 63, 64, 18, 24, 83]]","[6, 4, 5, 2, 3, 1]"
0,15,"(0.5, 144)","[[4, 16, 3, 2, 11, 1, 9, 10, 6], [14, 30, 3, 20, 33, 26, 24, 18, 19, 1, 2, 37, 6, 29, 16, 25, 36, 35, 31], [25, 3, 31, 16, 32, 36, 34, 20, 24, 14, 22, 37, 33, 1, 2, 41, 18, 6, 26, 30, 40], [3, 26, 41, 14, 33, 40, 20, 22, 45, 16, 38, 2, 34, 25, 42, 24, 1, 35, 18, 37, 6, 36, 13], [35, 37, 41, 26, 38, 43, 3, 33, 30, 36, 14, 16, 20, 9, 44, 47, 49, 22, 25, 42, 2, 46, 1, 39, 18], [86, 79, 38, 14, 25, 61, 58, 21, 8, 92, 51, 9, 20, 87, 90, 65, 45, 3, 48, 57, 89, 13, 16, 18, 64, 55, 81, 30, 83, 78, 85, 67, 36, 46, 33, 52, 76, 91, 70, 73, 43, 24, 84, 74, 80, 42, 2]]","[6, 4, 5, 2, 3, 1]"
0,15,"(0.25, 72)","[[4, 16, 3, 2], [14, 30, 3, 20, 33, 26, 24, 18, 19, 1], [25, 3, 31, 16, 32, 36, 34, 20, 24, 14, 22], [3, 26, 41, 14, 33, 40, 20, 22, 45, 16, 38, 2], [35, 37, 41, 26, 38, 43, 3, 33, 30, 36, 14, 16, 20], [86, 79, 38, 14, 25, 61, 58, 21, 8, 92, 51, 9, 20, 87, 90, 65, 45, 3, 48, 57, 89, 13]]","[6, 4, 5, 2, 3, 1]"
0,15,"(0.125, 36)","[[4, 16], [14, 30, 3, 20, 33], [25, 3, 31, 16, 32], [3, 26, 41, 14, 33, 40], [35, 37, 41, 26, 38, 43], [86, 79, 38, 14, 25, 61, 58, 21, 8, 92, 51, 9]]","[6, 4, 5, 2, 3, 1]"
